noc,job,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,s1 Data Analysis,s2 Decision Making,s3 Finding Information,s4 Job Task Planning and Organizing,s5 Measurement and Calculation,s6 Money Math,s7 Numerical Estimation,s8 Oral Communication,s9 Problem Solving,s10 Reading,s11 Scheduling or Budgeting and Accounting,s12 Digital Technology,s13 Document Use,s14 Writing,s15 Critical Thinking,f1 Science & Agriculture,f2 Engineering,f3 Humanities,f4 Social Science,f5 Fine Arts,f6 Math And Computer Science,f7 Arts & Education,f8 Education   (teacher training)                      ,f9 Law,f10 Health,"f11 Health, Nursing & Clinical Laboratory",f12 Business,"f13 Medical, Dental & Veterinary",d1 Agriculture & Biological Science                    ,d2 Forestry                                            ,d3 Architecture & Landscape Architecture               ,d4 Humanities                                          ,d5 Social Sciences                                     ,d6 Fine & Applied Arts                                 ,d7 Computer Science                                    ,d8 Other Arts & Science                                ,d9 Education   (teacher training)                      ,d10 Engineering                                         ,d11 Law                                                 ,d12 Mathematics                                         ,d13 Kinesiology / Recreation / Physical Education       ,d14 Theology                                            ,d15 Physical Sciences                                   ,d16 Therapy & Rehabilitation                            ,"d17 Health, Nursing & Clinical Laboratory",d18 Business & Commerce                                 ,"d19 Medical, Dental & Veterinary"
132,Announcers and other broadcasters,950,0,2.971428572,0.345,147.5,"Occupations in art, culture, recreation and sport",2,"Technical occupations in art, culture, recreation and sport",26.12289018,40,37,21,50,6,9.5,6.5,3,7,3.5,4,16,9.5,20,6,17,17,14.5,8,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0
211,Engineering managers,5620,0,3.725274725,0.017,174,Management occupations,1,Specialized middle management occupations,55.29,47,44,24,60,8,11,8,3,7,4,5,18,11,24,8,22,17,18,11,110,4800,0,15,0,95,125,0,0,0,0,475,0,15,40,15,0,15,0,95,125,0,4785,0,0,0,0,55,0,0,475,0
213,Computer and information systems managers,19900,0,3.529850746,0.035,170,Management occupations,1,Specialized middle management occupations,48.72,46,43,24,58,7,11,8,3,7,4,5,18,11,23,8,21,17,18,10,745,4155,160,1040,380,7800,1050,75,75,75,25,4320,0,175,25,15,145,1040,380,7005,1050,75,4140,75,795,75,15,545,0,25,4320,0
311,Managers in health care,6665,0,3.77443609,0.007,169,Management occupations,1,Specialized middle management occupations,43.27,45,42,23,58,7,11,8,3,7,4,5,18,11,23,8,21,17,17,10,180,15,65,390,15,0,260,205,25,380,4305,750,75,180,0,15,65,390,15,0,260,205,0,25,0,75,0,0,305,4305,750,75
411,Government managers - health and social policy development and program administration,540,0,4.48,0.25,162,Management occupations,1,Specialized middle management occupations,50.26,43,41,23,55,7,10,7,3,7,4,5,17,10,22,7,19,18,16,10,30,0,0,180,0,0,30,25,15,105,70,85,0,15,15,0,0,180,0,0,30,25,0,15,0,0,0,0,105,70,85,0
412,"Government managers - economic analysis, policy development and program administration                               ",1565,0,3.925925926,0.25,165,Management occupations,1,Specialized middle management occupations,58.01,44,41,23,56,7,10,7,3,7,4,5,17,10,23,7,20,18,16,10,120,45,0,515,20,0,40,20,115,95,0,595,0,25,95,45,0,515,20,0,40,20,0,115,0,35,0,0,60,0,595,0
413,Government managers - education policy development and program administration,25,0,5,0.25,161,Management occupations,1,Specialized middle management occupations,49.14,43,40,23,55,7,10,7,3,7,4,5,17,10,22,7,19,17,16,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
414,Accounting and related clerks,35595,0.5,3.47903479,0.615,141.5,"Business, finance and administration occupations",4,Office support occupations,38.02,39.5,33.5,22.5,46,5,9.5,6,2.5,4,5,4,14.5,6.5,18,9.5,20.5,14.5,13,8.5,10,180,35,415,0,0,20,50,110,165,20,360,0,10,0,0,35,415,0,0,20,50,180,110,0,0,0,0,165,20,360,0
422,School principals and administrators of elementary and secondary education,10975,0,4.314606742,0.01,170,Management occupations,1,Specialized middle management occupations,46.5,46,43,24,59,7,11,8,3,7,4,5,18,11,23,8,21,17,18,10,45,55,180,320,215,10,265,9370,0,165,0,350,0,45,0,10,155,320,215,0,265,9370,45,0,10,165,25,0,0,0,350,0
423,"Managers in social, community and correctional services                                                              ",5250,0,3.583333333,0.007,159,Management occupations,1,Specialized middle management occupations,36.90773016,43,40,22,54,7,10,7,3,7,3,5,17,10,22,7,19,17,16,9,30,0,1035,1250,105,0,195,465,235,1015,215,705,0,15,15,0,1015,1250,105,0,195,465,0,235,0,135,20,0,880,215,705,0
